Edad;Sexoedad;Ano;101;102;103;104;105;106;107;108;109;110;201;202;203;204;205;206;207;208;209;210;211;212;213;214;301;302;303;304;306;307;308;309;401;402;403;404;405;406;407;501;502;503;504;505;506;507;508;509;510;511;512;513;514;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;Sexo;Edad
H1(98);H1;1998;613;4;31;14;153;69;18;3;651;31;0;0;0;2;0;0;0;0;0;0;2;8;6;9;0;0;1;33;15;19;0;2;174;478;144;2,530;257;44;681;20;1;12;0;0;14;5;2;0;95;0;21;0;22;0;215;0;62;17;1;138;106;21;4;55;26;0;0;1,019;74;Hombre;1
M1(98);M1;1998;486;5;29;21;94;59;11;11;550;31;0;0;0;0;0;0;1;0;0;0;1;8;2;1;0;1;0;28;21;9;0;1;146;345;93;1,811;177;20;464;11;0;8;0;0;9;5;0;0;64;0;23;0;13;2;183;0;45;12;1;141;73;17;3;27;19;0;0;868;56;Mujer;1
H1a4(98);H1a4;1998;252;8;25;7;46;31;0;10;216;32;0;0;0;6;0;0;1;0;0;0;4;54;26;4;1;1;1;29;16;14;0;5;0;0;0;0;0;0;0;136;2;31;0;5;174;19;12;0;72;0;30;0;47;2;102;0;40;19;0;54;43;22;5;20;21;0;0;95;53;Hombre;1a4
M1a4(98);M1a4;1998;208;10;31;4;39;27;0;8;257;17;2;0;0;0;0;0;0;0;0;0;1;39;21;4;0;0;0;31;10;12;0;0;0;0;0;0;0;0;1;107;1;18;0;3;95;20;9;0;44;0;26;0;28;3;90;0;57;24;1;51;33;4;2;19;24;0;0;90;38;Mujer;1a4
H5a14(98);H5a14;1998;26;5;36;6;29;21;0;5;83;23;0;2;1;3;0;5;1;0;0;0;7;118;70;14;3;1;1;23;7;29;0;9;0;0;0;0;0;0;0;387;10;40;4;4;150;13;4;1;102;36;235;0;42;4;26;0;60;18;3;27;25;22;1;18;20;0;0;35;53;Hombre;5a14
M5a14(98);M5a14;1998;36;12;38;6;18;13;0;1;54;32;2;0;0;2;1;0;0;1;1;0;5;92;55;7;4;2;3;23;12;19;0;3;0;0;0;0;0;0;0;207;2;8;1;6;50;14;4;0;40;47;96;0;33;7;26;1;50;14;0;25;19;13;10;12;23;0;4;28;49;Mujer;5a14
H15a44(98);H15a44;1998;69;222;90;19;99;70;3;894;273;85;199;63;52;82;34;86;20;3;0;12;74;357;341;50;26;72;633;215;82;379;2;67;0;0;0;0;0;0;0;4021;150;329;23;31;526;45;64;2;708;1142;18475;123;994;152;83;6;285;69;2;53;119;49;138;251;168;0;0;40;155;Hombre;15a44
M15a44(98);M15a44;1998;34;123;70;11;48;65;0;183;170;57;137;64;32;59;18;57;16;230;416;0;74;237;305;40;48;79;326;172;62;440;1;54;0;0;0;0;0;0;0;820;42;39;2;2;68;30;20;3;94;399;1314;5;181;168;64;1;186;78;4;27;87;28;56;171;202;0;680;31;309;Mujer;15a44
H45a64(98);H45a64;1998;57;304;53;12;38;86;3;226;309;72;715;121;188;254;128;508;99;6;0;184;121;277;594;62;27;406;3015;349;308;1288;19;218;0;0;0;0;0;0;0;1088;38;196;3;5;83;11;19;2;237;249;2669;0;240;738;107;9;138;648;2;36;142;68;452;516;314;6;0;6;149;Hombre;45a64
M45a64(98);M45a64;1998;69;124;35;5;25;96;0;31;211;46;422;181;142;408;147;308;47;602;851;0;249;260;607;49;48;397;1775;369;262;1431;6;124;0;0;0;0;0;0;0;286;6;38;2;0;13;11;5;4;38;42;242;0;44;897;60;3;120;540;4;35;138;77;178;382;258;0;20;5;218;Mujer;45a64
H65(98);H65;1998;242;317;37;14;48;154;4;26;1129;63;1387;303;380;456;202;995;208;7;0;1466;222;341;977;94;44;1600;7249;973;1449;3922;120;594;0;0;0;0;0;0;0;682;19;175;0;2;42;12;4;3;149;125;428;1;148;1403;398;6;228;3483;1;139;355;235;420;1305;810;78;0;7;359;Hombre;65
M65(98);M65;1998;273;157;34;5;38;182;1;5;1353;66;994;375;312;636;316;582;94;449;709;0;340;379;1060;74;72;1977;6566;1041;1512;4739;139;440;0;0;0;0;0;0;0;271;8;106;0;0;10;9;2;9;116;12;66;0;102;2220;398;7;192;2723;4;176;357;214;286;1426;736;0;0;2;562;Mujer;65
H1(99);H1;1999;399;7;0;12;114;92;12;10;604;41;0;0;0;1;0;0;1;0;0;0;1;14;8;4;0;1;0;24;13;18;0;3;65;532;104;2770;468;39;678;14;0;13;0;0;8;5;1;7;78;0;37;0;37;3;235;0;60;24;3;178;88;22;3;52;28;0;0;1158;53;Hombre;1
M1(99);M1;1999;332;2;5;16;89;88;8;9;491;24;0;0;1;1;0;0;0;0;0;0;0;4;3;3;0;0;2;25;7;12;0;0;49;380;90;2013;322;25;504;15;0;6;0;0;15;10;3;7;68;0;31;1;26;0;201;0;44;18;0;129;92;8;5;35;23;0;0;964;44;Mujer;1
H1a4(99);H1a4;1999;145;11;7;1;39;29;1;5;212;28;0;1;0;7;0;1;0;0;0;0;10;63;38;4;2;0;1;25;7;10;0;3;0;0;0;3;0;1;1;117;1;32;1;3;152;26;13;2;125;0;43;1;34;1;92;0;52;21;2;49;52;13;4;23;23;0;0;102;30;Hombre;1a4
M1a4(99);M1a4;1999;121;7;9;3;26;28;1;3;188;20;0;0;2;3;0;1;0;0;0;0;1;58;14;6;1;1;1;19;6;4;0;3;0;0;0;3;0;0;3;85;1;14;0;2;105;16;8;2;80;1;19;0;31;2;115;1;42;22;3;46;23;14;8;17;14;0;0;111;43;Mujer;1a4
H5a14(99);H5a14;1999;13;7;15;7;32;19;0;3;73;31;0;0;1;4;0;3;0;0;0;0;8;132;63;13;1;4;1;17;9;32;0;7;0;0;1;0;0;0;0;340;3;38;1;5;136;14;5;1;183;35;225;0;61;6;31;0;63;8;0;19;32;11;8;18;28;0;0;58;53;Hombre;5a14
M5a14(99);M5a14;1999;19;8;11;3;16;15;0;2;80;17;0;0;1;4;0;0;0;0;0;0;5;114;49;7;8;2;5;22;9;28;0;4;0;0;0;0;0;0;0;165;1;21;0;1;53;9;4;3;121;46;90;2;46;6;14;0;68;11;1;19;16;14;5;22;34;0;7;43;54;Mujer;5a14
H15a44(99);H15a44;1999;53;246;44;15;64;82;3;1135;292;102;185;63;43;57;26;77;21;3;0;26;77;393;363;60;28;82;634;234;82;390;1;75;0;0;0;0;0;0;0;3700;35;291;14;37;531;43;47;7;837;1168;19706;198;1173;201;94;9;300;94;4;61;112;50;149;285;190;1;0;40;200;Hombre;15a44
M15a44(99);M15a44;1999;32;139;23;7;44;78;1;208;156;53;150;77;49;70;24;64;17;248;464;0;84;290;318;58;53;86;342;172;69;437;2;39;0;0;0;0;0;0;0;767;5;41;1;2;75;16;15;14;271;395;1388;4;183;191;72;4;224;89;6;55;77;44;48;200;202;0;649;41;355;Mujer;15a44
H45a64(99);H45a64;1999;70;276;32;12;50;87;1;255;329;72;800;178;189;283;133;583;119;2;0;212;124;300;706;86;35;467;3215;385;311;1351;18;235;0;0;0;0;0;0;0;1097;12;232;5;6;81;21;13;18;308;300;2837;6;282;851;99;11;142;787;1;60;110;101;502;538;303;3;0;12;209;Hombre;45a64
M45a64(99);M45a64;1999;59;126;24;9;26;79;0;38;229;43;413;179;143;384;134;366;43;666;893;0;283;280;643;68;74;483;1838;340;244;1459;4;126;0;0;0;0;0;0;0;312;2;30;0;1;11;6;2;17;129;44;276;0;72;1033;70;4;126;645;2;36;106;59;190;382;273;0;9;5;284;Mujer;45a64
H65(99);H65;1999;183;356;30;17;45;228;3;29;1140;64;1454;308;428;494;237;1077;235;10;0;1560;247;425;1093;103;41;1908;8120;1029;1513;4309;106;612;0;0;0;0;0;0;0;644;6;206;1;2;47;12;3;45;223;147;523;2;243;1788;410;13;213;4233;3;162;340;243;507;1449;966;85;0;4;485;Hombre;65
M65(99);M65;1999;206;164;13;13;30;259;0;7;1416;76;1064;456;304;692;288;671;87;493;740;0;350;364;1120;89;64;2375;7387;1099;1563;5145;191;409;0;0;0;0;0;0;0;275;1;108;0;0;10;12;2;39;135;8;64;0;193;2636;470;6;209;3372;3;200;316;252;296;1410;746;0;0;6;712;Mujer;65
H1(00);H1;2000;406;6;11;21;129;81;19;9;662;33;0;0;0;2;1;0;1;0;0;0;4;12;6;8;0;0;9;36;10;20;0;2;120;510;156;2800;489;44;668;18;0;7;0;0;14;7;2;0;136;0;23;0;20;2;316;0;59;22;4;94;86;19;2;59;19;0;0;1302;67;Hombre;1
M1(00);M1;2000;369;5;17;20;90;86;22;14;528;24;0;0;0;2;0;0;1;0;0;0;0;7;5;8;0;0;3;33;15;13;0;2;91;368;115;2002;358;21;526;13;0;8;0;1;5;4;4;1;103;0;26;0;22;1;236;0;59;17;1;63;77;10;5;23;18;0;0;1089;50;Mujer;1
